#,Author,Total Poems,Live,Verse Daily,Poetry Daily,RALP,Slowdown
1407,Ralph Waldo Emerson,5,5,,,,
1408,Renee Emerson,1,,1,,,
1409,Laura Eve Engel,3,,3,,,
1410,Katia Engell,1,,,,1,
1411,Gail Rudd Entrekin,1,,1,,,
1412,Hans Magnus Enzensberger,1,,,,,1
1413,W. Perry Epes,1,,1,,,
1414,Elaine Equi,2,,1,,,1
1415,Katie Erbs,1,,,1,,
1416,Heid E. Erdrich,2,,,,,2
1417,Susan J. Erickson,1,,1,,,
1418,Terri Kirby Erickson,2,,2,,,
1419,William Erickson,1,,,1,,
1420,Shira Erlichman,1,,,,,1
1421,Caelan Ernest,1,,,1,,
1422,Timons Esaias,1,,1,,,
1423,Ashley D. Escobar,2,,,1,,1
1424,CD Eskilson,1,,1,,,
1425,Martín Espada,4,,1,1,,2
1426,Rhina P. Espaillat,1,,1,,,
1427,Joshua Jennifer Espinoza,4,,1,1,,2
1428,Joanne Esser,1,,1,,,
1429,Cathryn Essinger,3,,3,,,
1430,Therese Estacion,1,,,1,,
1431,Angie Estes,3,,3,,,
1432,John Estes,4,,4,,,
1433,Sarah Estes,1,,1,,,
1434,Lucía Estrada,1,,,1,,
1435,Nava EtShalom,1,,,1,,
1436,Carrie Etter,1,,1,,,
1437,Anna M. Evans,2,,2,,,
1438,CJ Evans,3,,1,1,,1
1439,John W. Evans,2,,2,,,
1440,Judson Evans,1,,1,,,
1441,Kate Evans,1,,1,,,
1442,Kerry James Evans,1,,1,,,
1443,William Evans,1,,,,,1
1444,Jaime Brunton & Russell Evatt,1,,1,,,
1445,Russell Evatt,1,,1,,,
1446,Percival Everett,1,,,1,,
1447,Peter Everwine,1,,1,,,
1448,Eve L. Ewing,2,,,,,2
1449,Jeff Ewing,2,,1,1,,
1450,Lupita Eyde-Tucker,1,,1,,,
1451,emet ezell,1,,,1,,
1452,Chinua Ezenwa-Ohaeto,1,,1,,,
1453,Radna Fabias,2,,,2,,
1454,Erica Miriam Fabri,3,,,,3,
1455,Jenny Factor,1,,1,,,
1456,Howard Faerstein,1,,1,,,
1457,Kathy Fagan,3,,2,,,1
1458,Gil Fagiani,1,,1,,,
1459,Adam Fagin,1,,,1,,
1460,Hazem Fahmy,3,,1,,,2
1461,Ruth Fainlight,1,,1,,,
1462,B. H. Fairchild,1,,1,,,
1463,Tarfia Faizullah,5,,1,1,2,1
1464,Jawdat Fakhreddine,1,,1,,,
1465,Kallie Falandays,1,,1,,,
1466,Noah Falck,4,,1,1,1,1
1467,Blas Falconer,3,,1,,,2
1468,Leah Falk,1,,1,,,
1469,Adam Falkner,1,,1,,,
1470,Sofia Fall,1,,1,,,
1471,Scout Faller,1,,1,,,
1472,Ayokunle Falomo,1,,,1,,
1473,Kit Fan,1,,,1,,
1474,Alexis Rhone Fancher,5,,5,,,
1475,Brian Fanelli,1,,1,,,
1476,Changxin Fang,1,,1,,,
1477,Shangyang Fang,1,,,1,,
1478,Robert Fanning,1,,1,,,
1479,Barbara Fant,1,,,1,,
1480,U.A. Fanthorpe,1,,1,,,
1481,William Fargason,2,,1,,1,
1482,Nada Faris,1,,,,1,
1483,Hilary-Anne Farley,1,,,,,1
1484,Kate Farrell,1,,,,,1
1485,Michael Farrell,1,,,1,,
1486,Carina Gia Farrero,1,,1,,,
1487,Katie Farris,5,,1,2,,2
1488,Forough Farrokhzad,1,,,1,,
1489,Forugh Farrokhzad,1,,1,,,
1490,Joseph Fasano,3,,1,,2,
1491,Farnaz Fatemi,1,,,,1,
1492,Mariam Fayez,1,,,,,1
1493,Gibson Fay-LeBlanc,2,,2,,,
1494,Zoë Fay-Stindt,1,,1,,,
1495,Parwana Fayyaz,1,,,1,,
1496,DGB Featherkile,1,,1,,,
1497,Roberta P. Feins,1,,1,,,
1498,Chanda Feldman,3,,2,,,1
1499,Camonghne Felix,1,,,,,1
1500,Adam Fell,1,,1,,,
1501,Shelley Feller,1,,,1,,
1502,Alan Felsenthal,2,,,2,,
1503,Peihe Feng,1,,1,,,
1504,Beth Ann Fennelly,1,,1,,,
1505,Elyse Fenton,1,,1,,,
1506,James Fenton,2,,,,1,1
1507,Joel Ferdon,2,,2,,,
1508,Bernard Ferguson,1,,,,,1
1509,Jesse Ferguson,1,,1,,,
1510,Lawrence Ferlinghetti,2,,,,,2
1511,Megan Fernandes,3,,,1,,2
1512,Patricio Ferrari,1,,,1,,
1513,Carla Sofia Ferreira,1,,,1,,
1514,Monica Ferrell,1,,,,,1
1515,Monique Ferrell,2,,1,,,1
1516,David Ferry,3,,,2,1,
1517,Scott Ferry,1,,1,,,
1518,Jerzy Ficowski,2,,,2,,
1519,Julia Fiedorczuk,1,,,1,,
1520,Gretchen Filart,1,,,,1,
1521,Peter Filkins,1,,,1,,
1522,Robert Fillman,3,,3,,,
1523,Annie Finch,2,,2,,,
1524,Gary Fincke,4,,4,,,
1525,Jonathan Fink,1,,1,,,
1526,James Finnegan,1,,1,,,
1527,Dennis Finnell,1,,1,,,
1528,Nikky Finney,2,,1,,,1
1529,Susan Firer,2,,2,,,
1530,Connor Fisher,1,,,1,,
1531,D. A. Fisher,1,,,1,,
1532,Jessica Fisher,3,,,2,,1
1533,Roy Fisher,1,,,,,1
1534,Ann Fisher-Wirth,1,,1,,,
1535,Lisa Fishman,1,,1,,,
1536,Molly Fisk,1,,,,,1
1537,Anne Fitzgerald,1,,1,,,
1538,Jan FitzGerald,1,,1,,,
1539,Gabriel Fitzmaurice,2,,2,,,
1540,Jameson Fitzpatrick,2,,,2,,
1541,Ryan Flaherty,2,,2,,,
1542,Amber Flame,1,,,1,,
1543,Victoria C. Flanagan,1,,1,,,
1544,Gerald Fleming,1,,1,,,
1545,Kathleen Flenniken,3,,2,,,1
1546,Jane Flett,1,,,,1,
1547,Amy Fleury,2,,1,,1,
1548,Neil de la Flor,1,,1,,,
1549,Keith Flynn,2,,2,,,
1550,Nick Flynn,2,,1,,,1
1551,Rachel Contreni Flynn,1,,1,,,
1552,S.C. Flynn,1,,1,,,
1553,Luiza Flynn-Goodlett,1,,1,,,
1554,Jennifer Elise Foerster,4,,,2,,2
1555,Richard Foerster,2,,1,1,,
1556,Brian Foley,2,,1,1,,
1557,Laura Foley,3,,3,,,
1558,Ruth Foley,1,,1,,,
1559,Jean Follain,1,,,1,,
1560,Ellen Foos,1,,1,,,
1561,Carolyn Forché,3,,,,1,2
1562,t'ai freedom ford,2,,,,,2
1563,Diamond Forde,5,,4,1,,
1564,Chris Forhan,4,,3,,1,
1565,Kelly Forsythe,1,,1,,,
1566,Charles Fort,1,,1,,,
1567,Brett Foster,1,,1,,,
1568,Kate Hanson Foster,2,,,,,2
1569,Linda Nemec Foster,2,,1,1,,
1570,Sesshu Foster,2,,,,,2
1571,Carrie Fountain,4,,2,,,2
1572,Graham Foust,2,,1,1,,
1573,Rebecca Foust,15,,12,1,,2
1574,Sara Ellen Fowler,1,,,1,,
1575,Alan C. Fox,1,,1,,,
1576,Kate Fox,1,,1,,,
1577,Priscilla Frake,1,,1,,,
1578,Anthony Frame,2,,2,,,
1579,Vievee Francis,7,,,3,3,1
1580,Ariel Francisco,1,,1,,,
1581,Diane Frank,1,,1,,,
1582,Matthew Gavin Frank,2,,2,,,
1583,Rebecca Morgan Frank,11,,8,1,,2
1584,Emily Franklin,1,,1,,,
1585,George Franklin,5,,4,,,1
1586,Jennifer Franklin,2,,2,,,
1587,Taylor Franson-Thiel,2,,1,1,,
1588,Gregory Fraser,6,,3,1,,2
1589,Marc Frazier,1,,1,,,
1590,Michael Frazier,1,,,1,,
1591,Santee Frazier,1,,,,,1
1592,Ella Frears,1,,,,1,
1593,Stephen Frech,1,,1,,,
1594,Yahya Frederickson,1,,1,,,
1595,Todd Fredson,1,,1,,,
1596,Barbara Claire Freeman,1,,1,,,
1597,Cal Freeman,2,,2,,,
1598,Glenn Freeman,2,,2,,,
1599,John Freeman,2,,1,,,1
1600,Sarah Freligh,3,,1,,,2
1601,Emily Kendal Frey,2,,1,1,,
1602,Scott Frey,1,,1,,,
1603,Stuart Friebert,1,,1,,,
1604,Daisy Fried,2,,1,1,,
1605,Gabriel Fried,1,,1,,,
1606,Philip Fried,5,,5,,,
1607,Jeff Friedman,2,,2,,,
1608,Hannah Fries,1,,1,,,
1609,Alice Friman,5,,5,,,
1610,Suzanne Frischkorn,5,,5,,,
1611,Carol Frith,1,,1,,,
1612,Laverne Frith,3,,3,,,
1613,from,2,,,,2,
1614,Carol Frost,2,,2,,,
1615,Elizabeth Frost,1,,1,,,
1616,Robert Frost,22,15,,,4,3
1617,John Fry,1,,1,,,
1618,Du Fu,2,,,1,,1
1619,Tracy Fuad,4,,1,2,1,
1620,Joanna Fuhrman,1,,,,,1
1621,Jane Ann Fuller,1,,1,,,
1622,Alice Fulton,1,,,1,,
1623,Julie Funderburk,2,,2,,,
1624,Allison Funk,4,,3,1,,
1625,Augusta Funk,1,,,1,,
1626,Diane Furtney,1,,1,,,
1627,Serena Fusek,1,,1,,,
1628,Samantha Leigh Futhey,1,,1,,,
1629,Vanessa Jimenez Gabb,3,,2,,,1
1630,Elisa Gabbert,4,,1,1,,2
1631,Mag Gabbert,2,,,2,,
1632,Kay Gabriel,1,,,,,1
1633,Jonterri Gadson,1,,1,,,
1634,Jerome Gagnon,1,,1,,,
1635,Jeannine Hall Gailey,12,,11,1,,
1636,Eduardo Galeano,1,,,,1,
1637,Sebastián Jiménez Galindo,1,,1,,,
1638,Jean Gallagher,1,,1,,,
1639,Tess Gallagher,3,,,,1,2
1640,G.C. Waldrep & John Gallaher,3,,3,,,
1641,John Gallaher,14,,13,,,1
1642,Kristina Marie Darling & John Gallaher,1,,1,,,
1643,Brendan Galvin,1,,1,,,
1644,James Galvin,2,,2,,,
1645,Rachel Galvin,2,,1,,,1
1646,Majda Gama,1,,,1,,
1647,Eric Gamalinda,3,,,,3,
1648,Sarah Gambito,1,,,,,1
1649,Hannah Gamble,1,,1,,,
1650,Antonio Gamoneda,2,,,2,,
1651,Forrest Gander,2,,,2,,
1652,Shanta Lee Gander,2,,,,,2
1653,Megan Gannon,2,,1,,,1
1654,Ben Gantcher,1,,1,,,
1655,Benjamin Gantcher,1,,,1,,
1656,Albert Garcia,1,,,,,1
1657,Alexis Aceves Garcia,1,,,,,1
1658,Ángel García,1,,,1,,
1659,Benjamin Garcia,2,,1,,,1
1660,Cristina Garcia,1,,1,,,
1661,Joshua Garcia,2,,2,,,
1662,Kim Garcia,1,,1,,,
1663,Ramón García,1,,1,,,
1664,Richard Garcia,1,,1,,,
1665,Violeta Garcia-Mendoza,2,,,,,2
1666,Christine Gardiner,1,,1,,,
1667,Benin Gardner,1,,,1,,
1668,Max Garland,1,,1,,,
1669,Soleil Garneau,1,,1,,,
1670,Nola Garrett,1,,1,,,
1671,Michael Garrigan,1,,1,,,
1672,David Lee Garrison,1,,1,,,
1673,Deborah Garrison,1,,,,,1
1674,Kristyn Garza,1,,1,,,
1675,Kate Gaskin,1,,1,,,
1676,Frank X. Gaspar,1,,1,,,
1677,Ross Gay,7,,1,,3,3
1678,Rasaq Malik Gbolahan,1,,1,,,
1679,Darien Hsu Gee,1,,,1,,
1680,Steve Gehrke,1,,1,,,
1681,Timothy Geiger,2,,2,,,
1682,Elaine van der Geld,1,,1,,,
1683,Christine Gelineau,1,,1,,,
1684,Adam J. Gellings,1,,,,,1
1685,Matthew Gellman,2,,,2,,
1686,Annelyse Gelman,2,,1,1,,
1687,Juan Gelman,1,,1,,,
1688,Sara Gelston,1,,1,,,
1689,Pamela Gemin,1,,1,,,
1690,James Gendron,1,,1,,,
1691,Paul Genega,1,,1,,,
1692,Jane Gentry,1,,1,,,
1693,Amy L. George,1,,1,,,
1694,Brandi George,1,,1,,,
1695,Geleisa George,1,,,,,1
1696,Jenny George,4,,1,1,1,1
1697,Karen L. George,1,,1,,,
1698,Danielle Legros Georges,1,,,,,1
1699,Dan Gerber,1,,1,,,
1700,Leslie Gerber,1,,1,,,
1701,Carmen Germain,3,,3,,,
1702,Sheryl St. Germain,1,,1,,,
1703,Amy Gerstler,3,,,,,3
1704,Gloria Gervitz,1,,,1,,
1705,Michael Gessner,2,,2,,,
1706,Hafizah Geter,3,,,1,,2
1707,Charlie Getter,1,,,,,1
1708,Bernadette Geyer,1,,1,,,
1709,Ghalib,1,,1,,,
1710,S. J. Ghaus,1,,,1,,
1711,Adrija Ghosh,1,,,1,,
1712,Sid Ghosh,1,,,1,,
1713,Doireann Ní Ghríofa,1,,,1,,
1714,Adam Giannelli,1,,1,,,
1715,David Giannini,1,,1,,,
1716,Phoebe Giannisi,2,,,2,,
1717,Natalie Giarratano,1,,1,,,
1718,Robert Gibb,1,,1,,,
1719,Katherine Gibbel,1,,,,,1
1720,Crystal Spring Gibbins,1,,1,,,
1721,Heather June Gibbons,1,,1,,,
1722,Paul Gibbons,2,,1,1,,
1723,Reginald Gibbons,1,,,1,,
1724,Jules Gibbs,3,,2,1,,
1725,Kahlil Gibran,1,,,,,1
1726,Andrea Gibson,2,,,,1,1
1727,Dobby Gibson,2,,,1,,1
1728,Margaret Gibson,5,,5,,,
1729,RJ Gibson,1,,1,,,
1730,Stephen Gibson,2,,2,,,
1731,Elsa Gidlow,1,,,,,1
1732,Christopher Gilbert,1,,,,,1
1733,Eliza Gilbert,1,,,1,,
1734,grace (ge) gilbert,1,,,1,,
1735,Jack Gilbert,8,,,,6,2
1736,Sandra Gilbert,2,,2,,,
1737,Gary Gildner,1,,1,,,
1738,Doreen Gildroy,1,,1,,,
1739,Merril Gilfillan,1,,,1,,
1740,Erika Gill,1,,1,,,
1741,Marie-Andrée Gill,1,,,1,,
1742,Maria Mazziotti Gillan,6,,6,,,
1743,Carmen R. Gillespie,1,,1,,,
1744,Mary Jo Firth Gillett,1,,1,,,
1745,Raquel Vasquez Gilliland,1,,1,,,
1746,Alan Gillis,1,,1,,,
1747,Charles Gillispie,1,,1,,,
1748,Michelle Gil-Montero,1,,1,,,
1749,Laura Gilpin,3,,,,3,
1750,Pere Gimferrer,1,,,1,,
1751,Allen Ginsberg,2,,,,2,
1752,Melissa Ginsburg,2,,1,,,1
1753,Dana Gioia,1,,,,,1
1754,Nikki Giovanni,1,,,,1,
1755,Sarah Giragosian,4,,3,,,1
1756,Aracelis Girmay,7,,1,1,2,3
1757,Nica Giromini,1,,,1,,
1758,CJ Giroux,1,,1,,,
1759,Jenn Givhan,2,,1,,,1
1760,Jennifer Givhan,5,,4,1,,
1761,Juliette Givhan,1,,,,,1
1762,Peter Gizzi,3,,,3,,
1763,Jody Gladding,1,,,1,,
1764,Renee Gladman,1,,,1,,
1765,Diane Glancy,3,,2,1,,
1766,Elton Glaser,5,,5,,,
1767,Rachel B. Glaser,1,,1,,,
1768,Ewen Glass,1,,1,,,
1769,Joan Kwon Glass,4,,,1,,3
1770,Gary Glauber,6,,6,,,
1771,Michael Glaviano,1,,1,,,
1772,Andrew Glaze,1,,1,,,
1773,Michele Glazer,2,,1,1,,
1774,Anna Glazova,1,,,1,,
1775,Karen Glenn,1,,1,,,
1776,Susan Glickman,2,,,,2,
1777,Angela-Manalang Gloria,1,,,,1,
1778,Eugene Gloria,2,,1,,,1
1779,Maggie Glover,2,,2,,,
1780,Peter Joseph Gloviczki,1,,1,,,
1781,John E. Glowney,1,,1,,,
1782,Louise Glück,15,,,4,9,2
1783,Stacy Gnall,2,,1,1,,
1784,Valentina Gnup,1,,1,,,
1785,John Godfrey,1,,1,,,
1786,Landon Godfrey,2,,2,,,
1787,Diana Goetsch,1,,1,,,
1788,Guy Goffette,1,,1,,,
1789,Albert Goldbarth,9,,7,,2,
1790,Beckian Fritz Goldberg,1,,1,,,
1791,Benjamin Goldberg,1,,1,,,
1792,Leah Goldberg,1,,1,,,
1793,Midge Goldberg,1,,1,,,
1794,Golden,1,,,1,,
1795,Sierra Golden,2,,2,,,
1796,Tasha Golden,1,,1,,,
1797,Tirzah Goldenberg,1,,,1,,
1798,Paul Goldman,1,,1,,,
1799,Paula Goldman,1,,1,,,
1800,Emily M. Goldsmith,1,,,,1,
1801,Evan Goldstein,1,,,1,,
1802,Lydia Golitz,1,,1,,,
1803,Veronica Golos,1,,1,,,
1804,Mónica Gomery,3,,1,1,,1
1805,Carlos Andrés Gómez,3,,1,,,2
1806,MJ Gomez,1,,1,,,
1807,Nancy Miller Gomez,3,,3,,,
1808,Rodney Gomez,3,,3,,,
1809,Yam Gong,2,,,2,,
1810,Catherine Gonick,1,,1,,,
1811,Leonard Gontarek,1,,1,,,
1812,Elisa Gonzalez,2,,,1,,1
1813,India Lena González,1,,,,,1
1814,Ray Gonzalez,5,,4,1,,
1815,Rigoberto González,2,,1,,,1
1816,Beth Goobie,1,,1,,,
1817,Regan Good,1,,1,,,
1818,Jessica Goodfellow,8,,8,,,
1819,Michael Goodfellow,5,,5,,,
1820,Jessica Goodheart,1,,1,,,
1821,Nicholas Goodly,1,,,,,1
1822,Brent Goodman,1,,1,,,
1823,D.R. Goodman,1,,1,,,
1824,Henrietta Goodman,1,,1,,,
1825,Charles Goodrich,1,,1,,,
1826,Christopher Goodrich,1,,1,,,
1827,Dana Goodyear,1,,1,,,
1828,Johannes Göransson,1,,,1,,
1829,Jason Gordon,1,,1,,,
1830,Noah Eli Gordon,1,,1,,,
1831,Gemma Gorga,2,,1,1,,
1832,David Gorin,1,,,1,,
1833,Deborah Gorlin,1,,1,,,
1834,Amanda Gorman,1,,,,,1
1835,Tara Gorvine,1,,1,,,
1836,Christine Gosnay,2,,2,,,
1837,Erica Goss,2,,2,,,
1838,Rupa Gosvami,1,,,1,,
1839,Daphne Gottlieb,1,,,,1,
1840,Rae Gouirand,4,,3,1,,
1841,A. Minetta Gould,1,,1,,,
1842,Michalle Gould,1,,1,,,
1843,Kara van de Graaf,4,,3,1,,
1844,Kathleen Graber,2,,1,,,1
1845,Andrew Grace,2,,,,,2
1846,Tanya Grae,1,,1,,,
1847,Garth Graeper,1,,,1,,
1848,Derek Graf,1,,1,,,
1849,Catherine Graham,1,,1,,,
1850,David Graham,1,,1,,,
1851,Jorie Graham,4,,,3,,1
1852,Peter Grandbois,1,,1,,,
1853,Mark Granier,2,,2,,,
1854,JP Grasser,1,,,1,,
1855,Anne Graue,1,,1,,,
1856,Hillary Gravendyk,2,,1,1,,
1857,Jesse Graves,2,,2,,,
1858,Robert von Ranke Graves,3,3,,,,
1859,Jan-Henry Gray,2,,,1,,1
1860,Jason Gray,2,,2,,,
1861,Juliana Gray,2,,2,,,
1862,Kelly Gray,2,,,1,,1
1863,Amy Graziano,1,,1,,,
1864,Amy Glynn Greacen,1,,1,,,
1865,torrin a. greathouse,2,,,2,,
1866,Carrie Green,1,,1,,,
1867,Chris Green,1,,1,,,
1868,Eryn Green,1,,1,,,
1869,Joseph Green,2,,2,,,
1870,Lauren Aliza Green,1,,,,,1
1871,Leah Naomi Green,1,,,1,,
1872,Samuel Green,2,,1,1,,
1873,Sarah Green,2,,1,,,1
1874,Jessica Greenbaum,1,,1,,,
1875,Miriam Bird Greenberg,1,,1,,,
1876,Jeffrey Greene,2,,2,,,
1877,Jonathan Greene,1,,1,,,
1878,Richard Greenfield,1,,1,,,
1879,Sonia Greenfield,2,,2,,,
1880,Jim Greenhalf,1,,1,,,
1881,Stuart Greenhouse,1,,,1,,
1882,Kate Greenstreet,1,,1,,,
1883,William Greenway,2,,2,,,
1884,Debora Greger,1,,1,,,
1885,Linda Gregerson,3,,,1,,2
1886,Linda Gregg,10,,,,7,3
1887,Mack Gregg,1,,,1,,
1888,Carol Lynn Stevenson Grellas,3,,3,,,
1889,Robert Grenier,1,,,,1,
1890,Eamon Grennan,4,,,1,2,1
1891,Kimberly Grey,4,,3,1,,
1892,Sarah Gridley,1,,1,,,
1893,Brandan Griffin,1,,,1,,
1894,Nicki Griffin,2,,2,,,
1895,Rob Griffith,1,,1,,,
1896,Jane Griffiths,2,,1,1,,
1897,Rachel Eliza Griffiths,3,,,,,3
1898,Angelina Weld Grimké,2,,,,,2
1899,James Grinwis,5,,5,,,
1900,Eliza Griswold,1,,,,1,
1901,Jay Griswold,1,,1,,,
1902,Vona Groarke,1,,,1,,
1903,David Groff,2,,1,,,1
1904,Kelle Groom,2,,2,,,
1905,Emily Grosholz,1,,1,,,
1906,Philip Gross,2,,1,1,,
1907,Benjamin S. Grossberg,10,,9,1,,
1908,Dorothea Grossman,1,,,,1,
1909,Sara J. Grossman,2,,2,,,
1910,Jennifer Grotz,1,,,1,,
1911,Daniel Groves,1,,1,,,
1912,Jason Grundstrom-Whitney,1,,1,,,
1913,Robert Grunst,1,,1,,,
1914,Eileen GSell,1,,1,,,
1915,Anna Gual,1,,,1,,
1916,Ben Gucciardi,1,,1,,,
1917,Benjamin Gucciardi,3,,1,2,,
1918,Eric Gudas,1,,1,,,
1919,Matthew Guenette,6,,6,,,
1920,Silvia Guerra,1,,,1,,
1921,Wendy Guerra,1,,,1,,
1922,Maricela Guerrero,2,,,2,,
1923,Avery M. Guess,1,,1,,,
1924,Paul Guest,11,,9,,1,1
1925,Julia Guez,1,,,1,,
1926,George Guida,2,,2,,,
1927,Nicolás Guillén,1,,,1,,
1928,Ursula K. Le Guin,2,,1,,1,
1929,Carolyn Guinzio,1,,1,,,
1930,Lara Gularte,1,,1,,,
1931,Alexis Pauline Gumbs,1,,,,,1
1932,Jeff Gundy,2,,2,,,
1933,Amanda Gunn,1,,,1,,
1934,Thom Gunn,1,,,,,1
1935,Kari Gunter-Seymour,4,,4,,,
1936,Kinshuk Gupta,1,,,1,,
1937,Nora Gupta,1,,,1,,
1938,Jaimie Gusman,1,,1,,,
1939,Annie Guthrie,1,,1,,,
1940,Camille Guthrie,2,,1,,,1
1941,Sarah Kain Gutowski,1,,1,,,
1942,Daniel Gutstein,2,,2,,,
1943,John Guzlowski,1,,1,,,
1944,Brian Gyamfi,1,,,1,,
1945,Beth Gylys,5,,5,,,
1946,Lilian Ha,1,,1,,,
1947,Tami Haaland,4,,2,,,2
1948,Hedy Habra,4,,4,,,
1949,Marilyn Hacker,3,,2,1,,
1950,Rachel Hadas,2,,1,,,1
1951,Amy Haddad,1,,,,,1
1952,Joumana Haddad,1,,1,,,
1953,Mark Haddon,1,,,,1,
1954,Jen Hadfield,1,,,1,,
1955,Shin Hae-uk,1,,,1,,
1956,Ellen Hagan,2,,,,,2
1957,Jessica Hagedorn,1,,,,,1
1958,Seth Hagen,1,,1,,,
1959,Richard Hague,2,,2,,,
1960,Kimiko Hahn,4,,1,1,1,1
1961,Xiao Hai,1,,,1,,
1962,Rasma Haidri,1,,1,,,
1963,Lauren Haldeman,1,,1,,,
1964,Pat Hale,1,,1,,,
1965,Judy Halebsky,2,,2,,,
1966,Daniel Hales,1,,1,,,
1967,Jeremy Halinen,1,,1,,,
1968,Alexandria Hall,1,,,,,1
1969,Becca Rose Hall,1,,1,,,
1970,Donald Hall,3,,,,3,
1971,H. Palmer Hall,1,,1,,,
1972,James Allen Hall,6,,2,3,,1
1973,Joe Hall,2,,1,1,,
1974,Shafer Hall,1,,,,,1
1975,Kathleen Halme,1,,1,,,
1976,Barbara Hamby,2,,2,,,
1977,Jordan Hamel,1,,,1,,
1978,Forrest Hamer,1,,1,,,
1979,Richard Hamilton,1,,,1,,
1980,Saskia Hamilton,1,,,1,,
1981,Justin Hamm,1,,1,,,
1982,Brenda Mann Hammack,1,,1,,,
1983,Suheir Hammad,1,,,,1,
1984,Chera Hammons,2,,1,,,1
1985,Alen Hamza,1,,1,,,
1986,Monica A. Hand,1,,,,,1
1987,Nathalie Handal,2,,,1,,1
1988,Luke Hankins,2,,2,,,
1989,Gail Hanlon,1,,1,,,
1990,Noël Hanlon,2,,2,,,
1991,Sarah Hannah,4,,4,,,
1992,Pauletta Hansel,1,,1,,,
1993,Re'Lynn Hansen,1,,1,,,
1994,Margaret Hanshaw,1,,1,,,
1995,Danielle Hanson,2,,2,,,
1996,Julie Hanson,2,,2,,,
1997,C.G. Hanzlicek,1,,,,1,
1998,Choman Hardi,1,,1,,,
1999,Kerry Hardie,1,,,,,1
2000,Jeff Hardin,3,,3,,,
2001,Shannon Elizabeth Hardwick,1,,1,,,
2002,Cynthia Hardy,1,,1,,,
2003,Myronn Hardy,4,,3,1,,
2004,Thomas Hardy,15,13,,,,2
2005,Jared Harél,4,,2,2,,
2006,Kathryn Hargett-Hsu,2,,,2,,
2007,Joy Harjo,9,,,1,4,4
2008,Rachel Harkai,1,,1,,,
2009,Edward Harkness,1,,1,,,
2010,Chelsea Harlan,2,,1,1,,
2011,Megan Harlan,1,,1,,,
2012,Joshua Harmon,1,,1,,,
2013,Maurice Harmon,2,,2,,,
2014,James Harms,1,,1,,,
2015,Frances Ellen Watkins Harper,3,,,,,3
2016,Janice N. Harrington,3,,2,1,,
2017,Janis Harrington,1,,1,,,
2018,Daniel Y. Harris,1,,1,,,
2019,Duriel E. Harris,1,,,,,1
2020,francine j. harris,3,,,,,3
2021,Ian Harris,1,,1,,,
2022,Lizzie Harris,1,,1,,,
2023,Paula Harris,1,,,,1,
2024,Reginald Harris,1,,1,,,
2025,Will Harris,1,,,1,,
2026,William J. Harris,2,,,1,,1
2027,Zachary Harris,2,,2,,,
2028,Jeffrey Harrison,5,,3,1,1,
2029,Jim Harrison,4,,2,2,,
2030,Joseph Harrison,1,,1,,,
2031,Lesley Harrison,1,,,1,,
2032,Leslie Harrison,3,,2,1,,
2033,Tony Harrison,1,,,,1,
2034,Clarinda Harriss,1,,,,1,
2035,Dave Harrity,1,,1,,,
2036,Lois Marie Harrod,7,,7,,,
2037,Karen Harryman,1,,1,,,
2038,Marc Harshman,2,,1,,,1
2039,Henry Hart,2,,2,,,
2040,Kenneth Hart,2,,2,,,
2041,Matt Hart,3,,3,,,
2042,Pamela Hart,2,,,,,2
2043,Endi Bogue Hartigan,2,,1,1,,
2044,Heather Hartley,1,,1,,,
2045,Charles O. Hartman,1,,1,,,
2046,Katie Hartsock,2,,1,1,,
2047,Julia Hartwig,1,,,,1,
2048,Matthea Harvey,5,,1,,2,2
2049,Mikko Harvey,4,,1,1,1,1
2050,Yona Harvey,2,,1,,,1
2051,Lisa M. Hase-Jackson,1,,1,,,
2052,Shadab Zeest Hashmi,1,,1,,,
2053,Lola Haskins,3,,3,,,
2054,Robert Hass,5,,,2,1,2
2055,Eman Hassan,1,,1,,,
2056,Sadia Hassan,1,,,1,,
2057,Margaret Hasse,2,,2,,,
2058,Ana Hatherly,1,,,1,,
2059,David Hathwell,1,,1,,,
2060,James Haug,5,,5,,,
2061,Kaylin Haught,1,,,,1,
2062,Tom Haushalter,1,,1,,,
2063,Niels Hav,1,,,1,,
2064,Stephen Haven,1,,1,,,
2065,Ashley Mace Havird,2,,2,,,
2066,Red Hawk,2,,2,,,
2067,Amanda Hawkins,1,,,,,1
2068,Gary Hawkins,1,,1,,,
2069,Shayla Hawkins,1,,1,,,
2070,Walter Everette Hawkins,1,,,,,1
2071,Samer Abu Hawwash,2,,,,2,
2072,Brooks Haxton,1,,,1,,
2073,Dolores Hayden,1,,1,,,
2074,Robert Hayden,4,,,1,2,1
2075,Terrance Hayes,6,,3,1,,2
2076,K. A. Hays,5,,4,,,1
2077,Rebecca Hazelton,7,,7,,,
2078,Oli Hazzard,1,,,1,,
2079,H.D.,1,,,,,1
2080,Chengru He,1,,1,,,
2081,Huan He,2,,1,1,,
2082,Steve Healey,2,,1,,,1
2083,Eloise Klein Healy,2,,1,,,1
2084,Tom Healy,1,,,,,1
2085,Seamus Heaney,3,,1,,1,1
2086,Todd Hearon,1,,1,,,
2087,Kevin Heaton,1,,1,,,
2088,Arielle Hebert,3,,,1,1,1
2089,Anthony Hecht,1,,,,1,
2090,Jennifer Michael Hecht,1,,1,,,
